Class,Precision,Recall,F1-Score
A,0.9280719280719281,0.9636929460580913,0.9455470737913486
B,0.9863731656184487,0.9771547248182763,0.9817423056859677
C,0.9822546972860126,0.9691040164778579,0.975635044064282
D,0.9737903225806451,0.966,0.9698795180722891
E,0.9712820512820513,0.9823651452282157,0.9767921609076844
F,0.9864864864864865,0.983419689119171,0.9849507005708354
G,0.9040793825799338,0.8367346938775511,0.8691043985161632
H,0.9544491525423728,0.9646680942184154,0.9595314164004259
I,0.7264618434093162,0.7881720430107527,0.7560598246518824
J,0.9760869565217392,0.9412997903563941,0.9583778014941302
K,0.9869423286180631,0.9773706896551724,0.9821331889550623
L,0.7722543352601156,0.7144385026737968,0.7422222222222222
M,0.9920398009950249,0.997,0.9945137157107232
N,0.9487179487179487,0.9766497461928934,0.9624812406203102
O,0.9772020725388602,0.970164609053498,0.9736706246773361
P,0.984375,0.9905660377358491,0.987460815047022
Q,0.8626168224299066,0.906679764243615,0.8840996168582376
R,0.966304347826087,0.9684095860566448,0.9673558215451578
S,0.9895397489539749,0.986444212721585,0.9879895561357702
T,0.9668341708542714,0.9897119341563786,0.9781392984239959
U,0.9292635658914729,0.963819095477387,0.946225949679329
V,0.9584245076586433,0.926984126984127,0.942442173211404
W,0.9924568965517241,0.9694736842105263,0.9808306709265175
X,0.9869281045751634,0.9815817984832069,0.9842476914720261
Y,0.9596174282678002,0.9626865671641791,0.961149547631719
Z,0.9935897435897436,0.9862142099681867,0.989888238424694
